method,path,current_guard,category,poc_disposition,reference
"POST","/api/fetchEvent","public","centers-events","planned","packages/backend/src/app.ts:2497"
"GET","/api/fetchEvent","public","centers-events","planned","packages/backend/src/app.ts:2508"
"POST","/api/updateEvent","authenticated","centers-events","planned","packages/backend/src/app.ts:2518"
"POST","/api/getEventUsers","authenticated","centers-events","planned","packages/backend/src/app.ts:2652"
"GET","/api/events/registered","authenticated","centers-events","planned","packages/backend/src/app.ts:2683"
"GET","/api/events/:id/registration","authenticated","centers-events","planned","packages/backend/src/app.ts:2693"
"GET","/api/events/:id/roster","authenticated","centers-events","planned","packages/backend/src/app.ts:2711"
"POST","/api/attendEvent","authenticated","centers-events","planned","packages/backend/src/app.ts:2745"
"POST","/api/attendEventGuest","public","centers-events","planned","packages/backend/src/app.ts:2811"
"POST","/api/unattendEvent","authenticated","centers-events","planned","packages/backend/src/app.ts:2852"
"POST","/api/fetchEventsByCenter","public","centers-events","planned","packages/backend/src/app.ts:2877"
"GET","/api/fetchEventsByCenter","public","centers-events","planned","packages/backend/src/app.ts:2887"
"GET","/api/fetchAllEvents","public","centers-events","planned","packages/backend/src/app.ts:2897"
"POST","/api/profile/uploadImage","authenticated","users-legacy","planned","packages/backend/src/app.ts:2935"
"POST","/api/board/uploadImage","authenticated","users-legacy","planned","packages/backend/src/app.ts:2989"
"POST","/api/brewCoffee","public","users-legacy","planned","packages/backend/src/app.ts:3025"
"GET","/api/admin/stats","admin","admin","planned","packages/backend/src/app.ts:3059"
"GET","/api/admin/users","admin","admin","planned","packages/backend/src/app.ts:3068"
"GET","/api/admin/centers","admin","admin","planned","packages/backend/src/app.ts:3077"
"GET","/api/admin/events","admin","admin","planned","packages/backend/src/app.ts:3086"
"PUT","/api/admin/centers/:id","admin","admin","planned","packages/backend/src/app.ts:3097"
"POST","/api/admin/centers/:id/verify","admin","admin","planned","packages/backend/src/app.ts:3132"
"DELETE","/api/admin/centers/:id","admin","admin","planned","packages/backend/src/app.ts:3147"
"GET","/api/admin/centers/:id/members","admin","admin","planned","packages/backend/src/app.ts:3161"
"PUT","/api/admin/events/:id","admin","admin","planned","packages/backend/src/app.ts:3174"
"DELETE","/api/admin/events/:id","admin","admin","planned","packages/backend/src/app.ts:3262"
"POST","/api/admin/users/:id/verify","admin","admin","planned","packages/backend/src/app.ts:3278"
"DELETE","/api/admin/users/:id","admin","admin","planned","packages/backend/src/app.ts:3310"
"GET","/api/admin/invite-codes","admin","admin","planned","packages/backend/src/app.ts:3332"
"POST","/api/admin/invite-codes","admin","admin","planned","packages/backend/src/app.ts:3343"
"POST","/api/admin/invite-codes/:code/toggle","admin","admin","planned","packages/backend/src/app.ts:3373"
"GET","/api/admin/invite-codes/:code/users","admin","admin","planned","packages/backend/src/app.ts:3390"
"GET","/api/notifications","authenticated","notifications","planned","packages/backend/src/app.ts:3410"
"GET","/api/notifications/unread-count","authenticated","notifications","planned","packages/backend/src/app.ts:3432"
"PUT","/api/notifications/:id/read","authenticated","notifications","planned","packages/backend/src/app.ts:3442"
"PUT","/api/notifications/mark-all-read","authenticated","notifications","planned","packages/backend/src/app.ts:3459"
"PUT","/api/notifications/:id/archive","authenticated","notifications","planned","packages/backend/src/app.ts:3471"
"DELETE","/api/notifications/:id","authenticated","notifications","planned","packages/backend/src/app.ts:3488"
"GET","/api/notifications/preferences","authenticated","notifications","planned","packages/backend/src/app.ts:3505"
"PUT","/api/notifications/preferences","authenticated","notifications","planned","packages/backend/src/app.ts:3522"
"POST","/api/push/register","authenticated","push","planned","packages/backend/src/app.ts:3596"
"POST","/api/push/unregister","authenticated","push","planned","packages/backend/src/app.ts:3614"
"GET","/api/admin/notifications","admin","admin","planned","packages/backend/src/app.ts:3631"
"GET","/api/admin/notifications/stats","admin","admin","planned","packages/backend/src/app.ts:3685"
"POST","/api/admin/notifications/send","admin","admin","planned","packages/backend/src/app.ts:3708"
"DELETE","/api/admin/notifications/:id","admin","admin","planned","packages/backend/src/app.ts:3777"
"GET","/api/admin/moderation/queue","moderator","admin","planned","packages/backend/src/app.ts:3798"
"POST","/api/admin/moderation/posts/:postId/delete","moderator","admin","planned","packages/backend/src/app.ts:3827"
"POST","/api/admin/moderation/users/:userId/suspend","admin","admin","planned","packages/backend/src/app.ts:3867"
"POST","/api/admin/moderation/users/:userId/unsuspend","admin","admin","planned","packages/backend/src/app.ts:3920"
"GET","/api/admin/moderation/audit","moderator","admin","planned","packages/backend/src/app.ts:3944"
